"Name","Country","Height"
"Ben Chonzie","S","931"
"Creagan na Beinne","S","888"
"Creag Uchdag","S","879"
"Auchnafree Hill","S","789"
"Shee of Ardtalnaig [Ciste Buide a' Claidheimh]","S","759"
"Beinn na Gainimh","S","729.3"
"Meall Buidhe","S","719"
"Creag Ruadh","S","712"
"Meall Dearg","S","690.2"
"Creag Each","S","673.7"
"Creag Gharbh","S","637.4"
"Meall nan Caorach","S","623.7"
"Meall Reamhar","S","617.8"
"Creag na Criche","S","456.8"
"Birnam Hill - King's Seat","S","403.8"
"Knock of Crieff","S","279"
"Ben Vorlich","S","985.3"
"Stuc a' Chroin","S","973"
"Beinn Each","S","813"
"Meall na Fearna","S","809"
"Beinn Dearg","S","706.6"
"Sgiath a' Chaise","S","644.2"
"Mor Bheinn","S","640.3"
"Ben Clach","S","533"
"Torlum","S","393"
"Ben More","S","1174"
"Stob Binnein","S","1165"
"Stob Coire an Lochain","S","1068"
"Cruach Ardrain SW Top","S","1044.9"
"Cruach Ardrain","S","1045.9"
"An Caisteal","S","995.9"
"Ben Lomond","S","973.7"
"Meall na Dige","S","966"
"Stob Garbh","S","957.7"
"Beinn Tulaichean","S","945.8"
"Beinn a' Chroin East Top","S","940.1"
"Beinn a' Chroin West Top","S","937.9"
"Beinn Chabhair","S","932.2"
"Creag a' Bhragit","S","923"
"Stob Garbh SE Top","S","923.5"
"Stob Creagach","S","906"
"Ben Ledi","S","879"
"Stob a' Choin","S","869"
"Meall an t-Seallaidh","S","852.7"
"Benvane","S","821"
"Creag Mac Ranaich","S","808.6"
"Beinn Stacach [Ceann na Baintighearna] [Stob Fear-tomhais] [Beinn Stacath]","S","771.8"
"Beinn a' Choin","S","768.7"
"The Stob","S","753.6"
"Meall Mor","S","747"
"Ben Venue","S","729"
"Stob Breac","S","688"
"Meall Cala","S","674"
"Creag Mhor","S","658"
"Cruinn a' Bheinn","S","632"
"Beinn Uamha","S","596.8"
"Beinn Uird","S","597"
"Binnean nan Gobhar","S","586"
"Beinn an t-Sidhein","S","572"
"Meall Gainmheich","S","566"
